#R-- (on the right)				Name		MW		Linked atom on the right -->												Linked atom on the left <--												Linked atom on the left with marked position for 3Mer <--
c1ncncc1					Ring1_42_3	80.0880		[c;X3;R1;!$(c=O)]1[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R1]1						[c;X3;R1]3[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)]3						[c;X3;R1]5[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1;!$(c=O)]5(y)
c1ccnnc1					Ring1_43_1	80.088		[c;X3;R1]1[c;X3;R1][c;X3;R1;!$(c=O)][n;R1][n;R1][c;X3;R1;!$(c=O)]1							[c;X3;R1;!$(c=O)]3[n;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1]3							[c;X3;R1;!$(c=O)]5[n;R1][n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1cnncc1					Ring1_43_2	80.088		[c;X3;R1]1[c;X3;R1;!$(c=O)][n;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R1]1							[c;X3;R1]3[c;X3;R1;!$(c=O)][n;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R1]3							[c;X3;R1]5[c;X3;R1;!$(c=O)](y)[n;R1][n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R1]5(y)
n1ccncc1					Ring1_44_1	80.088		[n;R1]1[c;X3;R1;!$(c=O)][c;X3;R1;!$(c=O)][n;R1][c;X3;R1][c;X3;R1]1							[c;X3;R1]3[c;X3;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R1;!$(c=O)][n;R1]3							[c;X3;R1]5[c;X3;R1](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R1;!$(c=O)](y)[n;R1]5
n1cncnc1					Ring1_48_1	81.076		[n;R1]1[c;X3;R1;!$(c=O);!$(c=N)][n;R1][c;X3;R1;!$(c=O);!$(c=N)][n;R1][c;X3;R1;!$(c=O);!$(c=N)]1				[c;X3;R1;!$(c=O);!$(c=N)]3[n;R1][c;X3;R1;!$(c=O);!$(c=N)][n;R1][c;X3;R1;!$(c=O);!$(c=N)][n;R1]3				[c;X3;R1;!$(c=O);!$(c=N)]5[n;R1][c;X3;R1;!$(c=O);!$(c=N)](y)[n;R1][c;X3;R1;!$(c=O);!$(c=N)](y)[n;R1]5
C1C=CNC=C1					Ring1_49_1	81.1158		[C;X4;R1]1[C;X3;R1]=[C;X3;R1][N;R1][C;X3;R1]=[C;X3;R1]1									[C;X3;R1]3=[C;X3;R1][N;R1][C;X3;R1]=[C;X3;R1][C;X4;R1]3									[C;X3;R1]5=[C;X3;R1](y)[N;R1](y)[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1]5(y)
N1C=CCC=C1					Ring1_49_2	81.1158		[N;R1]1[C;X3;R1]=[C;X3;R1][C;X4;R1][C;X3;R1]=[C;X3;R1]1									[C;X3;R1]3=[C;X3;R1][C;X4;R1][C;X3;R1]=[C;X3;R1][N;R1]3									[C;X3;R1]5=[C;X3;R1](y)[C;X4;R1](y)[C;X3;R1](y)=[C;X3;R1](y)[N;R1]5(y)
C1=CCC=CN1					Ring1_49_3	81.1158		[C;X3;R1]1=[C;X3;R1][C;X4;R1][C;X3;R1]=[C;X3;R1][N;R1]1									[N;R1]3[C;X3;R1]=[C;X3;R1][C;X4;R1][C;X3;R1]=[C;X3;R1]3									[N;R1]5[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1](y)[C;X3;R1](y)=[C;X3;R1]5(y)
C1=CNC=CC1					Ring1_49_4	81.1158		[C;X3;R1]1=[C;X3;R1][N;R1][C;X3;R1]=[C;X3;R1][C;X4;R1]1									[C;X4;R1]3[C;X3;R1]=[C;X3;R1][N;R1][C;X3;R1]=[C;X3;R1]3									[C;X4;R1]5[C;X3;R1](y)=[C;X3;R1](y)[N;R1](y)[C;X3;R1](y)=[C;X3;R1]5(y)
O=c1nncc1					Ring1_51_1	82.0608		O=[c;X3;R1]1[n;R1][n;R1][c;X3;R1][c;X3;R1]1										[c;X3;R1]3[c;X3;R1][n;R1][n;R1][c;X3;R1]3(=O)										[c;X3;R1]5[c;X3;R1](y)[n;R1](y)[n;R1](y)[c;X3;R1]5(=O)
c1c(=O)nnc1					Ring1_51_2	82.0608		[c;X3;R1]1[c;X3;R1](=O)[n;R1][n;R1][c;X3;R1]1										[c;X3;R1]3[n;R1][n;R1][c;X3;R1](=O)[c;X3;R1]3										[c;X3;R1]5[n;R1](y)[n;R1](y)[c;X3;R1](=O)[c;X3;R1]5(y)
n1ccc(=O)n1					Ring1_51_3	82.0608		[n;R1]1[c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1]1										[n;R1]3[c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1]3										[n;R1]5[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[n;R1]5(y)
c1cc(=O)nn1					Ring1_51_4	82.0608		[c;X3;R1]1[c;X3;R1][c;X3;R1](=O)[n;R1][n;R1]1										[n;R1]3[n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1]3										[n;R1]5[n;R1](y)[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1]5(y)
C1CCC=CC1					Ring1_54_1	82.1436		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X3;R1]=[C;X3;R1][C;X4;R1]1								[C;X4;R1]3[C;X3;R1]=[C;X3;R1][C;X4;R1][C;X4;R1][C;X4;R1]3								[C;X4;R1]5[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CC=CCC1					Ring1_54_2	82.1436		[C;X4;R1]1[C;X4;R1][C;X3;R1]=[C;X3;R1][C;X4;R1][C;X4;R1]1								[C;X4;R1]3[C;X4;R1][C;X3;R1]=[C;X3;R1][C;X4;R1][C;X4;R1]3								[C;X4;R1]5[C;X4;R1](y)[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CCCC=C1					Ring1_54_3	82.1436		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][C;X3;R1]=[C;X3;R1]1								[C;X3;R1]3=[C;X3;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3								[C;X3;R1]5=[C;X3;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
n1nc(=O)nc1					Ring1_56_1	83.0488		[n;R1]1[n;R1][c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O)]1									[c;X3;R1;!$(c=O)]3[n;R1][c;X3;R1](=O)[n;R1][n;R1]3									[c;X3;R1;!$(c=O)]5[n;R1](y)[c;X3;R1](=O)[n;R1](y)[n;R1]5
c1(=O)nncn1					Ring1_56_2	83.0488		[c;X3;R1]1(=O)[n;R1][n;R1][c;X3;R1;!$(c=O)][n;R1]1									[n;R1]3[c;X3;R1;!$(c=O)][n;R1][n;R1][c;X3;R1]3(=O)									[n;R1]5[c;X3;R1;!$(c=O)](y)[n;R1][n;R1](y)[c;X3;R1]5(=O)
c1(=o)ncnn1					Ring1_56_3	83.0488		[c;X3;R1]1(=O)[n;R1][c;X3;R1;!$(c=O)][n;R1][n;R1]1									[n;R1]3[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1]3(=O)									[n;R1]5[n;R1][c;X3;R1;!$(c=O)](y)[n;R1](y)[c;X3;R1]5(=O)	
N1CCC=CC1					Ring1_60_1	83.1317		[N;R1]1[C;X4;R1][C;X4;R1][C;X3;R1]=[C;X3;R1][C;X4;R1]1									[C;X4;R1]3[C;X3;R1]=[C;X3;R1][C;X4;R1][C;X4;R1][N;R1]3									[C;X4;R1]5[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1](y)[C;X4;R1](y)[N;R1]5(y)
C1NCCC=C1					Ring1_60_2	83.1317		[C;X4;R1]1[N;R1][C;X4;R1][C;X4;R1][C;X3;R1]=[C;X3;R1]1									[C;X3;R1]3=[C;X3;R1][C;X4;R1][C;X4;R1][N;R1][C;X4;R1]3									[C;X3;R1]5=[C;X3;R1](y)[C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X4;R1]5(y)
C1CNCC=C1					Ring1_60_3	83.1317		[C;X4;R1]1[C;X4;R1][N;R1][C;X4;R1][C;X3;R1]=[C;X3;R1]1									[C;X3;R1]3=[C;X3;R1][C;X4;R1][N;R1][C;X4;R1][C;X4;R1]3									[C;X3;R1]5=[C;X3;R1](y)[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1NCC=CC1					Ring1_60_4	83.1317		[C;X4;R1]1[N;R1][C;X4;R1][C;X3;R1]=[C;X3;R1][C;X4;R1]1									[C;X4;R1]3[C;X3;R1]=[C;X3;R1][C;X4;R1][N;R1][C;X4;R1]3									[C;X4;R1]5[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1](y)[N;R1](y)[C;X4;R1]5(y)
N1CC=CCC1					Ring1_60_5	83.1317		[N;R1]1[C;X4;R1][C;X3;R1]=[C;X3;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][C;X3;R1]=[C;X3;R1][C;X4;R1][N;R1]3									[C;X4;R1]5[C;X4;R1](y)[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1](y)[N;R1]5(y)
C1C=CCCN1					Ring1_60_6	83.1317		[C;X4;R1]1[C;X3;R1]=[C;X3;R1][C;X4;R1][C;X4;R1][N;R1]1									[N;R1]3[C;X4;R1][C;X4;R1][C;X3;R1]=[C;X3;R1][C;X4;R1]3									[N;R1]5[C;X4;R1](y)[C;X4;R1](y)[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1]5(y)
C1OC(=O)C=C1					Ring1_66_1	84.0734		[C;X4;R1]1[O;R1][C;X3;R1](=O)[C;X3;R1]=[C;X3;R1]1									[C;X3;R1]3=[C;X3;R1][C;X3;R1](=O)[O;R1][C;X4;R1]3									[C;X3;R1]5=[C;X3;R1](y)[C;X3;R1](=O)[O;R1][C;X4;R1]5(y)
C1(=O)OCC=C1					Ring1_66_2	84.0734		[C;X3;R1]1(=O)[O;R1][C;X4;R1][C;X3;R1]=[C;X3;R1]1									[C;X3;R1]3=[C;X3;R1][C;X4;R1][O;R1][C;X3;R1]3(=O)									[C;X3;R1]5=[C;X3;R1](y)[C;X4;R1](y)[O;R1][C;X3;R1]5(=O)
C1=CC(=O)OC1					Ring1_66_3	84.0734		[C;X3;R1]1=[C;X3;R1][C;X3;R1](=O)[O;R1][C;X4;R1]1									[C;X4;R1]3[O;R1][C;X3;R1](=O)[C;X3;R1]=[C;X3;R1]3									[C;X4;R1]5[O;R1][C;X3;R1](=O)[C;X3;R1](y)=[C;X3;R1]5(y)
O=C1CCCC1					Ring1_72_1	84.1164		O=[C;X3;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][C;X4;R1][C;X4;R1][C;X3;R1]3(=O)									[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X3;R1]5(=O)
C1C(=O)CCC1					Ring1_72_2	84.1164		[C;X4;R1]1[C;X3;R1](=O)[C;X4;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][C;X4;R1][C;X3;R1](=O)[C;X4;R1]3									[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[C;X3;R1](=O)[C;X4;R1]5(y)
c1ccsc1						Ring1_76_1	84.140		[c;X3;R1]1[c;X3;R1][c;X3;R1][s;R1][c;X3;R1]1										[c;X3;R1]3[s;R1][c;X3;R1][c;X3;R1][c;X3;R1]3										[c;X3;R1]5[s;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1cscc1						Ring1_76_2	84.140		[c;X3;R1]1[c;X3;R1][s;R1][c;X3;R1][c;X3;R1]1										[c;X3;R1]3[c;X3;R1][s;R1][c;X3;R1][c;X3;R1]3										[c;X3;R1]5[c;X3;R1](y)[s;R1][c;X3;R1](y)[c;X3;R1]5(y)
C1CCCCC1					Ring1_77_1	84.1595		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]1								[C;X4;R1]3[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3								[C;X4;R1]5(y)[C;X4;R1][C;X4;R1](y)[C;X4;R1](y)[C;X4;R1][C;X4;R1]5(y)
C1(=O)CCCN1					Ring1_82_1	85.1045		[C;X3;R1]1(=O)[C;X4;R1][C;X4;R1][C;X4;R1][N;R1]1									[N;R1]3[C;X4;R1][C;X4;R1][C;X4;R1][C;X3;R1]3(=O)									[N;R1]5[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X3;R1]5(=O)
N1C(=O)CCC1					Ring1_82_2	85.1045		[N;R1]1[C;X3;R1](=O)[C;X4;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1]3									[C;X4;R1]5(y)[C;X4;R1](y)[C;X4;R1](y)[C;X3;R1](=O)[N;R1]5(y)
C1NC(=O)CC1					Ring1_82_3	85.1045		[C;X4;R1]1[N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1]3									[C;X4;R1]5(y)[C;X4;R1](y)[C;X3;R1](=O)[N;R1](y)[C;X4;R1]5(y)
C1CNC(=O)C1					Ring1_82_4	85.1045		[C;X4;R1]1[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1]1									[C;X4;R1]3[C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1]3									[C;X4;R1]5(y)[C;X3;R1](=O)[N;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
n1ccsc1						Ring1_85_1	85.128		[n;R1]1[c;X3;R1][c;X3;R1][s;R1][c;X3;R1;!$(c=N);!$(c=S);!$(c=C)]1							[c;X3;R1;!$(c=N);!$(c=S);!$(c=C)]3[s;R1][c;X3;R1][c;X3;R1][n;R1]3							[c;X3;R1;!$(c=N);!$(c=S);!$(c=C)]5[s;R1][c;X3;R1](y)[c;X3;R1](y)[n;R1]5
c1scnc1						Ring1_85_2	85.128		[c;X3;R1]1[s;R1][c;X3;R1;!$(c=N);!$(c=S);!$(c=C)][n;R1][c;X3;R1]1							[c;X3;R1]3[n;R1][c;X3;R1;!$(c=N);!$(c=S);!$(c=C)][s;R1][c;X3;R1]3							[c;X3;R1]5[n;R1][c;X3;R1;!$(c=N);!$(c=S);!$(c=C)](y)[s;R1][c;X3;R1]5(y)
s1cncc1						Ring1_85_3	85.128		[s;R1]1[c;X3;R1;!$(c=N);!$(c=S);!$(c=C)][n;R1][c;X3;R1][c;X3;R1]1							[c;X3;R1]3[c;X3;R1][n;R1][c;X3;R1;!$(c=N);!$(c=S);!$(c=C)][s;R1]3							[c;X3;R1]5[c;X3;R1](y)[n;R1][c;X3;R1;!$(c=N);!$(c=S);!$(c=C)](y)[s;R1]5
C1CCCCN1					Ring1_86_1	85.1475		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1][N;R1]1									[N;R1]3[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3									[N;R1]5[C;X4;R1][C;X4;R1](y)[C;X4;R1](y)[C;X4;R1][C;X4;R1]5(y)
C1CCCNC1					Ring1_86_2	85.1475		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][N;R1][C;X4;R1]1									[C;X4;R1]3[N;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3									[C;X4;R1]5(y)[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CCNCC1					Ring1_86_3	85.1475		[C;X4;R1]1[C;X4;R1][C;X4;R1][N;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][N;R1][C;X4;R1][C;X4;R1][C;X4;R1]3									[C;X4;R1]5(y)[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CNCCC1					Ring1_86_4	85.1475		[C;X4;R1]1[C;X4;R1][N;R1][C;X4;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][C;X4;R1][N;R1][C;X4;R1][C;X4;R1]3									[C;X4;R1]5(y)[C;X4;R1][C;X4;R1](y)[N;R1](y)[C;X4;R1][C;X4;R1]5(y)
O=C1NCCN1					Ring1_92_1	86.0925		O=[C;X3;R1]1[N;R1][C;X4;R1][C;X4;R1][N;R1]1										[N;R1]3[C;X4;R1][C;X4;R1][N;R1][C;X3;R1]3(=O)										[N;R1]5[C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1]5(=O)
N1C(=O)NCC1					Ring1_92_2	86.0925		[N;R1]1[C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1]1										[C;X4;R1]3[C;X4;R1][N;R1][C;X3;R1](=O)[N;R1]3										[C;X4;R1]5[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[N;R1]5(y)
s1cnnc1						Ring1_96_1	86.116		[s;R1]1[c;X3;R1][n;R1][n;R1][c;X3;R1]1											[c;X3;R1]3[n;R1][n;R1][c;X3;R1][s;R1]3											[c;X3;R1]5[n;R1][n;R1][c;X3;R1](y)[s;R1]5
C1CCCOC1					Ring1_97_1	86.1323		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][O;R1][C;X4;R1]1									[C;X4;R1]3[O;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3									[C;X4;R1]5(y)[O;R1][C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CCOCC1					Ring1_97_2	86.1323		[C;X4;R1]1[C;X4;R1][C;X4;R1][O;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][O;R1][C;X4;R1][C;X4;R1][C;X4;R1]3									[C;X4;R1]5(y)[C;X4;R1](y)[O;R1][C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1COCCC1					Ring1_97_3	86.1323		[C;X4;R1]1[C;X4;R1][O;R1][C;X4;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][C;X4;R1][O;R1][C;X4;R1][C;X4;R1]3									[C;X4;R1]5(y)[C;X4;R1][C;X4;R1](y)[O;R1][C;X4;R1][C;X4;R1]5(y)
C1CNCCN1					Ring1_99_1	86.1356		[C;X4;R1]1[C;X4;R1][N;R1][C;X4;R1][C;X4;R1][N;R1]1									[N;R1]3[C;X4;R1][C;X4;R1][N;R1][C;X4;R1][C;X4;R1]3									[N;R1]5[C;X4;R1][C;X4;R1](y)[N;R1](y)[C;X4;R1][C;X4;R1]5(y)
C1NCCNC1					Ring1_99_2	86.1356		[C;X4;R1]1[N;R1][C;X4;R1][C;X4;R1][N;R1][C;X4;R1]1									[C;X4;R1]3[N;R1][C;X4;R1][C;X4;R1][N;R1][C;X4;R1]3									[C;X4;R1]5(y)[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X4;R1]5(y)
C1COC(=O)N1					Ring1_102_1	87.0773		[C;X4;R1]1[C;X4;R1][O;R1][C;X3;R1](=O)[N;R1]1										[N;R1]3[C;X3;R1](=O)[O;R1][C;X4;R1][C;X4;R1]3										[N;R1]5[C;X3;R1](=O)[O;R1][C;X4;R1](y)[C;X4;R1]5(y)
C1OC(=O)NC1					Ring1_102_2	87.0773		[C;X4;R1]1[O;R1][C;X3;R1](=O)[N;R1][C;X4;R1]1										[C;X4;R1]3[N;R1][C;X3;R1](=O)[O;R1][C;X4;R1]3										[C;X4;R1]5[N;R1](y)[C;X3;R1](=O)[O;R1][C;X4;R1]5(y)
O1C(=O)NCC1					Ring1_102_3	87.0773		[O;R1]1[C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1]1										[C;X4;R1]3[C;X4;R1][N;R1][C;X3;R1](=O)[O;R1]3										[C;X4;R1]5[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[O;R1]5
C1NCCOC1					Ring1_103_1	87.1204		[C;X4;R1]1[N;R1][C;X4;R1][C;X4;R1][O;R1][C;X4;R1]1									[C;X4;R1]3[O;R1][C;X4;R1][C;X4;R1][N;R1][C;X4;R1]3									[C;X4;R1]5(y)[O;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X4;R1]5(y)
N1CCOCC1					Ring1_103_2	87.1204		[N;R1]1[C;X4;R1][C;X4;R1][O;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][O;R1][C;X4;R1][C;X4;R1][N;R1]3									[C;X4;R1]5(y)[C;X4;R1](y)[O;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1]5(y)
C1COCCN1					Ring1_103_3	87.1204		[C;X4;R1]1[C;X4;R1][O;R1][C;X4;R1][C;X4;R1][N;R1]1									[N;R1]3[C;X4;R1][C;X4;R1][O;R1][C;X4;R1][C;X4;R1]3									[N;R1]5[C;X4;R1][C;X4;R1](y)[O;R1][C;X4;R1][C;X4;R1]5(y)
S1CCNC1						Ring1_111_1	89.159		[S;R1]1[C;X4;R1][C;X4;R1][N;R1][C;X4;R1]1										[C;X4;R1]3[N;R1][C;X4;R1][C;X4;R1][S;R1]3										[C;X4;R1]5[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[S;R1]5(y)
C1SCCN1						Ring1_111_2	89.159		[C;X4;R1]1[S;R1][C;X4;R1][C;X4;R1][N;R1]1										[N;R1]3[C;X4;R1][C;X4;R1][S;R1][C;X4;R1]3										[N;R1]5[C;X4;R1](y)[C;X4;R1](y)[S;R1](y)[C;X4;R1]5(y)
N1CSCC1						Ring1_111_3	89.159		[N;R1]1[C;X4;R1][S;R1][C;X4;R1][C;X4;R1]1										[C;X4;R1]3[C;X4;R1][S;R1][C;X4;R1][N;R1]3										[C;X4;R1]5[C;X4;R1](y)[S;R1](y)[C;X4;R1](y)[N;R1]5(y)
C1NCSC1						Ring1_111_4	89.159		[C;X4;R1]1[N;R1][C;X4;R1][S;R1][C;X4;R1]1										[C;X4;R1]3[S;R1][C;X4;R1][N;R1][C;X4;R1]3										[C;X4;R1]5[S;R1](y)[C;X4;R1](y)[N;R1](y)[C;X4;R1]5(y)
O=c1ccccn1					Ring1_115_1	94.0914		O=[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][n;R1]1									[n;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]3(=O)								[n;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(=O)
n1c(=O)cccc1					Ring1_115_2	94.0914		[n;R1]1[c;X3;R1](=O)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1								[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1]3								[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](=O)[n;R1]5(y)
c1nc(=O)ccc1					Ring1_115_3	94.0914		[c;X3;R1]1[n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1][c;X3;R1]1								[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1][c;X3;R1]3								[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](=O)[n;R1](y)[c;X3;R1]5(y)
c1cnc(=o)cc1					Ring1_115_4	94.0914		[c;X3;R1]1[c;X3;R1][n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1]1								[c;X3;R1]3[c;X3;R1][c;X3;R1](=O)[n;R1][c;X3;R1][c;X3;R1]3								[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](=O)[n;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1ccnc(=o)c1					Ring1_115_5	94.0914		[c;X3;R1]1[c;X3;R1][c;X3;R1][n;R1][c;X3;R1](=O)[c;X3;R1]1								[c;X3;R1]3[c;X3;R1](=O)[n;R1][c;X3;R1][c;X3;R1][c;X3;R1]3								[c;X3;R1]5[c;X3;R1](=O)[n;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1(=O)ccncn1					Ring1_119_1	95.0794		[c;X3;R1]1(=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1]1							[n;R1]3[c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R1][c;X3;R1][c;X3;R1]3(=O)							[n;R1]5[c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(=O)
n1c(=o)ccnc1					Ring1_119_2	95.0794		[n;R1]1[c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R1;!$(c=O);!$(c=S)]1							[c;X3;R1;!$(c=O);!$(c=S)]3[n;R1][c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1]3							[c;X3;R1;!$(c=O);!$(c=S)]5[n;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](=O)[n;R1]5(y)
n1cnc(=O)cc1					Ring1_119_3	95.0794		[n;R1]1[c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1]1							[c;X3;R1]3[c;X3;R1][c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1]3							[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](=O)[n;R1](y)[c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1]5
c1ncnc(=O)c1					Ring1_119_4	95.0794		[c;X3;R1]1[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R1](=O)[c;X3;R1]1							[c;X3;R1]3[c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R1]3							[c;X3;R1]5[c;X3;R1](=O)[n;R1](y)[c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1][c;X3;R1]5(y)
O=c1ncccn1					Ring1_120_1	95.0794		O=[c;X3;R1]1[n;R1][c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O)][n;R1]1							[n;R1]3[c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1]3(=O)							[n;R1]5[c;X3;R1;!$(c=O)](y)[c;X3;R1](y)[c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1]5(=O)
n1c(=O)nccc1					Ring1_120_2	95.0794		[n;R1]1[c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O)]1							[c;X3;R1;!$(c=O)]3[c;X3;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1](=O)[n;R1]3							[c;X3;R1;!$(c=O)]5[c;X3;R1](y)[c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1](=O)[n;R1]5(y)
